charityid,charityCategory,title,mission
org12541.htm,Human Services : Homeless Services,Arlington Street People's Assistance Network,"Founded in 1991, Arlington Street People's Assistance Network (A-SPAN) provides life-sustaining services for Arlington's street homeless. Their mission is to secure permanent housing for one of Arlington's most vulnerable populations through outreach and relationships built on trust and respect. A-SPAN provides emergency services, supportive services as well as housing and shelter services. "
org8838.htm,Human Services : Homeless Services,Las Vegas Rescue Mission,"The Las Vegas Rescue Mission was founded in 1970 by a group of six businessmen who had a burden to help those who were homeless and hungry. Today, the Rescue Mission is composed of various buildings, taking up two city blocks near downtown Las Vegas. Through feeding the hungry, support, care, and an introduction to a personal relationship with Jesus Christ, we provide redemption, recovery, and re-entry to the homeless, addicted, and those in need. We now serve approximately 30,000 meals a month. The Mission stands as a beacon of hope. Through effective, innovative Christian recovery programs, the Las Vegas Rescue Mission provides a path for those who want to escape the despair of the streets. We continue to add, update and/or change programs to meet the needs of men, women and children in an ever-changing society. "
org4857.htm,Community Development : Community Foundations,Maine Community Foundation,"The Maine Community Foundation serves thousands of people who share a common mission: improving the quality of life in our state. Individuals, families, businesses and organizations create charitable funds that help Maine meet the challenges of changing times. Today, the foundation's assets of $180 million are held in stewardship for more than 800 funds. Maine Community Foundation grants cover the full range of nonprofit undertakings, with a special focus in the areas of education, the environment, arts and humanities, and social and community services. Since opening its doors in 1983, the foundation has awarded more than $100 million in grants and scholarships. "
org10040.htm,Community Development : Fundraising,United Way of the Laurel Highlands,"The United Way of the Laurel Highlands is working to advance the common good by focusing on the building blocks for a good life - Education, Income and Health. United Way agencies serve one out of every three families in Cambria and Somerset Counties by connecting those who need help with the right services and support. Victims of domestic violence are given shelter and the strength they need to build a new life. At-risk youth receive mentoring and guidance to make better life choices. Seniors find caring and support. Families in crisis find housing, food, and a helping hand.     Our major focus is to create long-lasting changes that prevent problems from happening in the first place. We bring together people from all across the community to tackle the issues. We all win when a child succeeds in school, when a family becomes financially stable, and when people have good health. "
org14259.htm,Human Services : Children's and Family Services,Mockingbird Society,"Founded in 2000, The Mockingbird Society is dedicated to building a world-class foster care system that ensures the care, support, and resources necessary for children, youth, and families to thrive. Their mission is to advocate for systems reform based on the personal experiences of children, youth, and families impacted by the foster care system. The belief is that all children need the same things - love, care, support and resource - drives everything The Mockingbird Society does. "
org4527.htm,Community Development : Fundraising,American Ireland Fund,"The American Ireland Fund is the largest of The Ireland Funds, an international charitable organization operating in 12 countries that has raised over $430 million for worthy causes in Ireland. The American Ireland Fund has raised $380m.The mission of The Ireland Funds is to be the largest worldwide network of people of Irish ancestry and friends of Ireland dedicated to raising funds to support programs of peace and reconciliation, arts and culture, education and community development throughout the island of Ireland. "
org15470.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Youth Empowerment Project,"Founded in 2004, the mission of the Youth Empowerment Project (YEP) is to provide intensive case management, mentoring and educational services to at-risk New Orleans youth. We will strengthen each young person's capacity to successfully connect with his or her family and community and lay the foundation for a healthy transition to adulthood. Since its inception, YEP has earned local and statewide recognition for being at the cutting edge of progressive programs for at-risk youth. We started as the first-of-its-kind re-entry program for juvenile offenders in Louisiana and now we are the region's most comprehensive and established agency working with at-risk, court-involved and out-of-school youth. "
org15274.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Alternatives,"Founded in 1971, Alternatives aims to facilitate personal development, strengthen family relationships and enhance the community's well being. Alternatives' programs and services use an asset-based model that focuses on enriching young people's lives by building upon individual strengths within the context of their family and community. We provide comprehensive, accessible and affordable programs that increase young people's opportunities to succeed and grow as individuals and community members "
org7250.htm,Community Development : Fundraising,United Way of Greater Chattanooga,"United Way of Greater Chattanooga's mission is to unite people and resources in building a stronger and healthier community. United Way of Greater Chattanooga is working to advance the common good by educating children to be ready for school, promoting economic stability so people can provide for themselves and their families, and by caring for the most vulnerable in our community. By preventing problems and changing these social conditions, we create a stronger and healthier community for everyone. "
org15086.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Citrus Center Boys & Girls Club,"Founded in 1955, The Citrus Center Boys & Girls Club works to inspire and enable all young people, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible, and caring citizens. We are dedicated to ensuring that our community's youth have access to quality programs and services that will enhance their lives and shape their future. We offer programs developed by the National Boys & Girls Club Corporate Office to impact character and leadership development, education and career development, health and life skills, the arts, sports and fitness, and technology skills. "
org5615.htm,Community Development : Community Foundations,Community Foundation of Middle Tennessee,"The Community Foundation of Middle Tennessee brings good people and good causes together to help ensure both the excellent stewardship of donor funds and the wise investment of grants in the 40 counties of Middle Tennessee that we serve. The Community Foundation serves as a leader, catalyst, and resource providing philanthropic services that enhance the Middle Tennessee area. The Foundation provides flexible and cost-effective ways for civic-minded individuals, families, and companies to contribute to the community, now and for all time. The Foundation puts the joy back in giving by making it comfortable, convenient and cost-effective to give. "
org13393.htm,Community Development : Housing and Neighborhood Development,Habitat for Humanity of Eastern Connecticut,"Habitat for Humanity of Eastern Connecticut, in the spirit of sharing, builds decent and affordable homes in partnership with families in need. Habitat accomplishes this goal through the dedicated efforts of community volunteers, financial sponsors and partner families who find rewarding experiences by sharing their time, talents and resources. Our mission is to make a difference in the lives of others, fulfill the dream of home ownership and help eliminate sub-standard housing in Eastern Connecticut.Created through the merger of Habitat for Humanity of Southeastern Connecticut and Habitat for Humanity of Northeast Connecticut in 2013, Habitat for Humanity of Eastern Connecticut has constructed or rehabilitated 64 homes using volunteer labor and donated building material or material purchased with donated funds. The affiliate's work is made possible with donations from private citizens, foundations, corporations, civic groups or organizations, schools, government programs and a "
org6544.htm,Human Services : Social Services,Northwest Assistance Ministries,"The concept of Northwest Assistance Ministries (NAM) was presented as a community service project to the Northwest Clergy Association in April 1983. A little more than six months later, NAM began operations with a small Food Pantry, Assistance Program and Resale Shop. Today, NAM is a multi-program, community-based social services agency. NAM's mission is to strive to meet basic human needs through neighbors helping neighbors. Our goal is to serve in a spirit of humility and charity and to enable people toward independence while respecting racial, cultural, and religious differences. "
org10453.htm,Human Services : Multipurpose Human Service Organizations,Special Olympics New Hampshire,"Special Olympics New Hampshire (SONH) provides sports training and athletic competition for children and adults with mental challenges. Currently over 3,000 participants and thousands of volunteers, friends and family members take part in SONH activities. SONH is founded on the belief that people with mental challenges can, with proper instructions and encouragement, learn, enjoy and benefit from participation in individual and team sports, adapted as necessary to meet the needs of those with mental and physical challenges. SONH has seven geographical regions within the state including: Great North Woods region, Monadnock and Connecticut River region, Seacoast region, Greater Manchester region, Central region, Lower Merrimack region and Upper Valley region. "
org9928.htm,Community Development : Fundraising,Federal Employee Education & Assistance Fund,"The Federal Employee Education & Assistance Fund (FEEA) is the only non-profit organization devoted solely to helping civilian federal and postal employees. FEEA helps federal employees every day through our three signature programs, including an annual scholarship competition, emergency assistance program, and child care subsidy program. FEEA sponsors the only annual, merit-based contest open only to civilian federal and postal employees, their spouses and college-age children. Emergency loans are available to help employees who fall behind on basic living expenses (mortgage/rent or utilities) due to unforeseen emergencies such as leave without pay, government pay error, death or illness in the family. FEEA administers a childcare subsidy program for more than two dozen federal agencies. "
org4409.htm,Community Development : Fundraising,Ronald McDonald House Charities,"Established in 1984, the mission of Ronald McDonald House Charities (RMHC) is to create, find and support programs that directly improve the health and well being of children. RMHC makes an immediate, positive impact on children's lives through our global network of Chapters in 52 countries and regions and through our three core programs: Ronald McDonald House, Ronald McDonald Family Room and Ronald McDonald Care Mobile. We award grants to other nonprofit organizations that align with our mission to positively impact the health and well being of children. We are also committed to education. Local Chapters award thousands of scholarships each year through RMHC U.S. Scholarships to students entering college across the United States. "
org13930.htm,Human Services : Multipurpose Human Service Organizations,The Greater Naples YMCA,"The Greater Naples YMCA puts Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all. The Y is the nation's leading nonprofit committed to strengthening communities through youth development, healthy living and social responsibility. Every day, the Y works side-by-side with our neighbors to make sure everyone, regardless of age, income or background, has the opportunity to learn, grow and thrive. "
org11143.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Big Brothers Big Sisters of San Diego County,"Big Brothers Big Sisters of San Diego County is celebrating 53 years of serving children, ages 7-18, throughout San Diego by providing unique, one-to-one mentoring . Children are served through two core programs: Community-Based and Site-Based Mentoring. The kids served primarily come families facing many obstacles; single parent and/or low income homes, homelessness, children with a parent in prison or children of deployable military parents. These kids are more vulnerable to influences leading to violence, delinquency, drug and alcohol abuse, and school failure. Big Brothers Big Sisters is a solution that works to solve these challenges through one-to-one consistent mentoring offered by caring adults to help change the way children grow up. Our organization has been recognized as being top of their class for excellent service, fiscal responsibility, and quality standards: # 1 Non Profit for At -Risk Youth - Philanthropedia and San Diego named by BBBS as a Gold Standard Award Winner "
org5920.htm,Community Development : Community Foundations,InFaith Community Foundation,"To serve our donors with integrity as together we change lives and spread joy by sharing our blessings with the world. Throughout our community and by God's grace, we will achieve effective, positive and lasting change. "
org15265.htm,Human Services : Homeless Services,Warren Family Mission,"Founded in 1999, Warren Family Mission is a Christ-centered rescue mission which provides food, shelter, clothing, spiritual and drug and alcohol rehabilitation help free of charge to participants from Trumbull County and its surrounding area. We work to serve our community in a way that helps people; recover from addictions, get back on their feet, rebuild broken relationships, restore families and become a vital part of a growing community with a positive influence. The mission has a six month program that includes mental, physical, financial, and spiritual guidance. "
org10885.htm,Human Services : Homeless Services,Sunday Breakfast Mission,"Sunday Breakfast Mission serves the homeless, addicted and impoverished through Christ-centered programs to meet their spiritual, social and physical needs. Our primary goal is to restore people to right relationship with God, their families and society. We Shelter for more than 280 homeless men, women, and children nightly. We also offer long-term substance abuse programming for 90 homeless and addicted men and women. In 2001 we provided hungry men, women, and children over 319,000 nutritious meals and provided over 59,000 nights of safe shelter for people who would otherwise be sleeping in alleys, abandoned buildings, cars, or other dangerous and inhospitable places. "
org9917.htm,Community Development : Fundraising,Petco Foundation,"The Petco Foundation has served as a voice for companion animals across the country since 1999. Each year, we help animal-welfare organizations find lifelong, loving homes for millions of orphaned pets, as well as fund spay and neuter efforts, animal assisted therapy programs and humane education. Today, the Foundation donates about $11 million a year to assist companion animals across the country. The organization is funded through donations raised during seasonal fundraisers conducted in Petco's 1,000 plus stores in all 50 United States, as well as from Petco associates, vendors and corporate contributions.. The majority of the funds raised remain in the community in which they were raised, but the Petco Foundation is also involved in many national animal welfare efforts. The Petco Foundation's mission is to raise the quality of life for pets and people who love and need them. The Petco Foundation is a 501(c)(3) non-profit corporation (#33-0845930). "
org10349.htm,Human Services : Homeless Services,Nicholas House,"Nicholas House operates a transitional housing shelter as well as scattered apartment sites for homeless families. We assist homeless families in making the transition from homelessness to self-sufficiency in a structured but home-like environment. Nicholas House is committed to assisting its families attain three goals that form the basis of self-sufficiency: earning a living wage; maintaining the physical, mental and social health of parents and children; and maintaining safe and stable housing. Nicholas House understands that providing basic subsistence - food and shelter - is necessary but not sufficient to prevent most homeless families from becoming homeless again. "
org14580.htm,Human Services : Social Services,Broome County Council of Churches,"Serving our neighbors in need since 1941, the Broome County Council of Churches (BCCC) is an organization that collaborates with many facets of the community to serve people with needs. Through our growing and diverse programs, the Council provides services to the hungry; elderly and lonely; disabled; sick; imprisoned; homeless and poor; and youth of Broome County. We advocate for change and reconciliation, promoting peace, justice, and genuine community across racial, ethnic, gender, socio-economic, and religious lines. "
org15428.htm,Community Development : Fundraising,The Conservation Alliance,"Founded in 1989, The Conservation Alliance's mission is to engage businesses to fund and partner with organizations to protect wild places for their habitat and recreation values. The Conservation Alliance is a group of outdoor industry companies that disburses its collective annual membership dues to grassroots environmental organizations. We direct our funding to community-based campaigns to protect threatened wild habitat, preferably where outdoor enthusiasts recreate. "
org7667.htm,Human Services : Homeless Services,Wheeler Mission Ministries,"Wheeler Mission Ministries is a non-denominational, Christian, social services organization, which provides critically needed goods and services to homeless, poor, and needy of central Indiana without regard to race, color, creed, national origin or religion. Founded in 1893, Wheeler is the oldest continuously operating ministry of its kind in the state of Indiana. With seven locations, dozens of ministries, a budget of $8.5 Million, and about 120 employees, Wheeler is the also the largest and most diverse ministry of its kind in the state. "
org5121.htm,Community Development : Fundraising,New York Foundation for the Arts,"The mission of the New York Foundation for the Arts (NYFA) is to empower artists at critical stages of their creative lives. Recognizing the broad-ranging needs of our constituents, we conduct our activities through three primary channels: financial support to individual artists, dance and theater companies; professional development training through workshops, seminars and individual consultations; and extensive online resources for artists and organizations. "
org8530.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Big Brothers Big Sisters of Metro Milwaukee,"The mission of Big Brothers Big Sisters of Metro Milwaukee is to provide children facing adversity with strong and enduring, professionally supported one-to-one mentoring relationships that change their lives for the better, forever. "
org5290.htm,Human Services : Homeless Services,Detroit Rescue Mission Ministries,"Founded in 1909, Detroit Rescue Mission Ministries (DRMM) is committed to sharing the gospel of the love of Jesus Christ, providing hope to the hopeless, disadvantaged, abused and homeless men, women and children of our community. By ministering to the total person - body, soul and spirit - we help them become faithful Christians, discipled into a local church, rehabilitated, employed and living productive lives in restored families. DRMM annually provides: one million meals to the hungry; more than 160,000 nights of emergency shelter; transitional housing and substance abuse treatment; transitional housing for teen moms and their children; and spiritual guidance and empowerment to more than 1,000 people daily. "
org11037.htm,Human Services : Homeless Services,Great Falls Rescue Mission,"Great Falls Rescue Mission is a non-profit Christian organization committed to caring for the hungry, hurting and homeless of North Central Montana. We believe lives can be changed by actively demonstrating and sharing the love of Christ and meeting a person's spiritual, physical, emotional and social needs. "
org12520.htm,Human Services : Children's and Family Services,Eastside Baby Corner,"Eastside Baby Corner (EBC) collects community donations and purchases and distributes children's and maternity items to families in collaboration with virtually every organization helping families in our area. EBC serves as a diaper bank, a clothing bank, and a food source for more than 500 kids each week. EBC leverages the impact of direct service providers by providing essential goods to the families they are helping. EBC is the major source of baby food, formula, diapers, cribs and car seats for ten local food banks. EBC is committed to providing resources to all children in need, from birth to age twelve, regardless of their religious, ethnic or other affiliations "
org6499.htm,Human Services : Multipurpose Human Service Organizations,YMCA of Greater Rochester,"For more than 150 years, the YMCA of Greater Rochester has provided innovative, quality programs that strengthen families, aid in the healthy development of children, encourage positive individual behavior and contribute to a healthier, safer community for all. Through a variety of programs, including child care, camping, sports, swimming lessons, teen leadership development, senior programs, family activities, health and wellness classes, and more, we build character by emphasizing the core values of caring, honesty, respect, responsibility, fun and friendship. "
org10110.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Metro Denver,"Since 1961, the Boys & Girls Clubs of Metro Denver has been helping kids from tough neighborhoods in the metro Denver area stay out of trouble, stay in school and succeed in life. The mission of the Boys & Girls Clubs of Metro Denver is to inspire and enable young people, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible and caring citizens. Not just after-school hangouts, the Clubs are places where young people come to learn, do homework, develop social skills, express themselves creatively, and participate in sports. The Clubs serve more than 12,000 members in the Denver metro area each year. "
org11290.htm,Community Development : Housing and Neighborhood Development,Habitat for Humanity of Bucks County,"Founded in 1990, Habitat for Humanity of Bucks County brings individuals, families and communities together to build affordable homes, better lives, stronger families, and safer revitalized communities through partnerships with people and organizations throughout Bucks County. "
org3709.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution","Food Bank of the Rio Grande Valley, Inc.","The Food Bank of the Rio Grande Valley, Inc. was founded in 1983 by Rev. Ted and Martha Knies in Pharr, TX. The Valley had just been hit with a devastating freeze and Rev. and Mrs. Knies wanted to help the families affected by this event. Today, the Food Bank RGV has grown to become the 36th largest food bank in terms of distribution in the nation and the 5th largest in the state of Texas. We currently serve the counties of Starr, Hidalgo, Cameron, and Willacy. "
org14503.htm,Community Development : Fundraising,United Way of Southwestern Indiana,"The mission of the United Way of Southwestern Indiana is to improve lives by mobilizing the caring power of communities. United Way is focusing on the building blocks of a good life for all - education, income and health. It takes all of us working together to build a stronger Southwestern Indiana. Everyone has something to offer. United Way connects people to opportunities to GIVE, ADVOCATE & VOLUNTEER. "
org11158.htm,Human Services : Multipurpose Human Service Organizations,National Fallen Firefighters Foundation,"The United States Congress created the National Fallen Firefighters Foundation to lead a nationwide effort to remember America's fallen firefighters. Since 1992, the Foundation has developed and expanded programs to honor our fallen fire heroes and assist their families and coworkers. Since 1992, the Foundation has developed and expanded programs that fulfill that mandate. Our mission is to honor and remember America's fallen fire heroes and to provide resources to assist their survivors in rebuilding their lives. "
org7727.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Girl Scouts, Arizona Cactus-Pine Council","Girl Scouts, Arizona Cactus-Pine Council is Arizona's pre-eminent organization dedicated solely to girls, where, in an accepting and nurturing environment, girls build character and skills for success in the real world. In partnership with committed adult volunteers, Girl Scouts cultivate their full individual potential. The qualities they develop in Girl Scouting - leadership, values, social conscience, and conviction about their own self-worth - serve them all their lives. The Arizona Cactus-Pine Council is unique because we serve a vast jurisdictional area encompassing approximately 75,000 square miles of our great state. "
org10929.htm,Human Services : Multipurpose Human Service Organizations,Disabled Police Officers Counseling Center,"The Disabled Police Officers Counseling Center (DPOCC) was established in 1992. Its purpose is to assist law enforcement officers, who retired as a result of a disabling injury, adjust to, and cope with, the many difficulties associated with an untimely and unplanned ending to their careers and chosen way of life. Feelings of loss, separation anxiety, depression and post traumatic stress disorder are often experienced. The DPOCC has made its services available to active police officers and members of their families. It is the DPOCC's mission, that through its counseling services and other programs, the quality of life for this group of public servants, will be greatly enhanced. "
org4597.htm,Human Services : Homeless Services,"Union Rescue Mission, Los Angeles","Union Rescue Mission (URM) is dedicated to serving people experiencing homelessness. Established in 1891, URM is one of the largest rescue missions of its kind in the United States and the oldest in Los Angeles. We provide a comprehensive array of emergency and long-term services to our guests, including: food, shelter, clothing, medical and dental care, recovery (life transformation) programs, transitional housing, legal assistance, education, counseling, and job training to men, women, children, and families. We embrace people experiencing homelessness with the compassion of Christ, giving hope and healing for a changed life, helping them to find their way home. "
org10786.htm,Human Services : Social Services,The Chicago Lighthouse,"Founded in 1906, The Chicago Lighthouse is a comprehensive private rehabilitation and educational facility dedicated to assisting children, youth and adults who are blind, visually impaired or multi-disabled by providing the highest quality educational, clinical, vocational and rehabilitation services. The Lighthouse operates 28 programs in 15 locations, in Chicago and across the state, serving 65,000 people each year. Many programs were firsts in the Midwest: the first Low Vision Clinic, the first Center for Blind and Multi-Disabled Children, the first Adaptive Technology Center for computer users. Through its comprehensive range of programs and services, the Chicago Lighthouse respects personal dignity and partners with individuals to enhance independent living and self-sufficiency. "
org15375.htm,Human Services : Homeless Services,Turning Points,"Turning Points, founded in 1995, aims to provide, coordinate, and facilitate services to the homeless and those at risk of becoming homeless in Manatee County, Florida. Our Turning Points team located at the Bill Galvano One Stop Center provides friendly, caring, compassionate assistance to people that come for help with a wide variety of issues. The great appeal of the integrated approach to service delivery practiced at the Bill Galvano One Stop Center is people have their physical, emotional and spiritual needs addressed by a caring team of paid staff and volunteers who work closely together. "
org13050.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Girl Scouts of Northern California,"Girl Scouts of the U.S.A. is the largest voluntary organization of girls in the world. In our council, the Girl Scouts of Northern California over 50,000 girls and 31,000 adults take part in Girl Scout programs each year. Girl Scouts of Northern California serves 19 counties in Northern California which include: Alameda, Butte, Contra Costa, Del Norte, Glenn, Humboldt, Lake, Marin, Mendocino, Napa, Santa Clara, San Francisco, San Mateo, Shasta, Siskiyou, Solano, Sonoma, Tehema, and Trinity Counties. In October of 2007, the Konocti Girl Scout Council, the Girl Scouts of Napa-Solano, the Girl Scouts of San Francisco Bay Area, the Girl Scouts of Santa Clara County, the Girl Scouts of Sierra Cascade, and a portion of the Girl Scouts of Winema Council merged to became the Girl Scouts of Northern California. "
org12768.htm,Human Services : Social Services,Highbridge Community Life Center,"For the people of Highbridge, bringing about a better life means breaking the cycle of poverty and building assets for community change. Highbridge Community Life Center is the way. Its mission is to empower the people of Highbridge through a rainbow of services that include: counseling for families and children, adult basic education, job training, after school activities for youth, community improvement, organizing and many other services through a vast network of collaborative organizations spread across the Bronx. Highbridge, the organization is about connections, resources, empowerment, and community - all the ingredients necessary to break the cycle, build assets and bridge the way to a better life for our families. "
org14261.htm,Human Services : Social Services,Nashua Soup Kitchen & Shelter,"The Nashua Soup Kitchen & Shelter (NSK&S;) is dedicated to providing shelter and food to those in need. The overall objective of the agency is to advocate, create, and operate programs and services that promote dignity and self-sufficiency for those we serve. To ensure that basic needs are addressed, the NSK&S; is committed to joining with others in a community-wide ethic of caring. "
org12531.htm,Community Development : Fundraising,United Way of Florence County,"The United Way of Florence County has been a cornerstone of the social service sector in Florence County for over 50 years. In a nutshell, the United Way of Florence County brings together citizens, community leaders, business, the faith-based community, local government, non-profit organizations and many more to ensure measurable results on issues that require collective, not just individual, action are delivered. Why? Because everyone deserves opportunities to have a good life: a complete education, access to basic human needs, personal and professional growth, a positive childhood, a moment to breathe a sigh of relief. The United Way of Florence County is helping to create opportunities for a better life for all. "
org9909.htm,Community Development : Housing and Neighborhood Development,Habitat for Humanity Orlando,"Habitat for Humanity Orlando is a Christian organization dedicated to transforming the lives of low-income, hard working families through the American dream of homeownership. We are one of approximately 2,100 local affiliates of Habitat for Humanity International. Habitat Orlando's mission is to bring together families in need and volunteers of all faiths, in partnership with community resources to enhance lives by building homes, strengthening neighborhoods and improving our community. "
org5180.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Dan Beard Council","Boy Scouts of America, Dan Beard Council is the Cincinnati area council of the national Boy Scouts of America (BSA) organization. The mission of the BSA is to prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law. The BSA prepares every eligible youth in America to become a responsible, participating citizen and leader who is guided by the Scout Oath and Law. The Dan Beard Council serves 31,352 registered boy scouts throughout twelve counties in Kentucky and Ohio. "
org12631.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Tidewater Council","Boy Scouts of America, Tidewater Council provides an effective program designed to develop character and the responsibilities in the program participants. "
org11097.htm,Community Development : Housing and Neighborhood Development,Jewish Free Loan Association,"The Jewish Free Loan Association of Los Angeles (""JFLA"") offers interest-free loans on a non-sectarian basis to individuals and families whose needs are urgent and who may not qualify through normal financial resources. Interest-free loans instead of charity fill an important gap in our social system by promoting self-sufficiency with dignity. JFLA affirms the ancient biblical requirement for interest-free lending by offering assistance to people in need with the goal of helping them to lead more rewarding and responsible lives.Today, JFLA grants more than 1,200 interest-free loans per year for emergencies, education, healthcare, developing small businesses, environmental upgrades and life cycle events. JFLA maintains a 99% repayment rate and as loans are repaid new loans are made, perpetuating a cycle of hope. "
org10525.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Carlsbad,"The Boys & Girls Clubs of Carlsbad works to provide activities and experiences that enrich the lives of young people, inspiring and enabling them to reach their full potential. Boys & Girls Clubs provide a safe place to learn and grow; ongoing relationships with caring, adult professionals; character development experiences; and hope and opportunity. Boys & Girls Club programs and services promote and enhance the development of boys and girls by instilling a sense of belonging, competence, usefulness, and influence. Since opening its doors in 1952, the Club has served well over 50,000 youth, many of which still reside in the City. "
org8221.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Circle Ten Council","Boy Scouts of America, Circle Ten Council is committed to delivering your child a high quality, safe and fun-filled program that challenges our youth both intellectually and physically. Circle Ten Council's geographic area is comprised of 12 counties including Grayson, Collin, Hunt, Dallas, Rockwall, Rains, Kaufman, Van Zandt, Ellis, Henderson and Navarro in North Texas and Bryan County in Oklahoma. Approximately 36,000 young people participate in the council's Scouting program on an annual basis and more than 16,052 adult volunteers dedicate their time and energy to make this program a success. "
org3606.htm,Human Services : Social Services,Delancey Street Foundation,"In 1971 Delancey Street began with four residents, a thousand dollar loan, and a dream to develop a new model to turn around the lives of people in poverty, substance abusers, former felons, and others who have hit bottom, by empowering the people with the problems to become the solution. More than 35 years later we remain true to our mission. We have been solving these problems: generations of poverty, illiteracy, lack of job skills, hard core substance abuse, homelessness, crime, violence, teen pregnancy, and emotional and physical abuse. After an average of four years (a minimum stay of two years), our residents gain an academic education, three marketable skills, accountability and responsibility, dignity, decency, and integrity. "
org13460.htm,Human Services : Children's and Family Services,Jewish Family Service of North Jersey,"Established in 1944 and originally housed in downtown Paterson, New Jersey, Jewish Family Service of North Jersey (JFSNJ) is a multifunction, non-profit, non-sectarian family and social service agency that has served the New Jersey residents of Passaic and Northwest Bergen Counties for over 60 years. JFSNJ's primary service is to provide out-patient mental health counseling facilitated by Licensed Clinical Social Workers. All services are offered and available on a sliding fee scale. In addition, the Agency offers eldercare services, meals on wheels, financial assistance and community outreach. "
org11245.htm,Community Development : Fundraising,Ohio United Way,"Ohio United Way is the voluntary state association of United Ways across Ohio. Representing local United Ways around the state, the association works to promote the public policy interest of our members, provides them with educational opportunities and leads statewide initiatives designed to improve Ohio communities. Ohio's greatest community challenges cannot be solved by money alone. Today, United Ways are building upon their greatest resource to improve community conditions: the power of community collaboration. Local United Ways build productive relationships between philanthropists, the business community, the nonprofit community and the public sector to identify and implement solutions to community needs. "
org12859.htm,"Human Services : Youth Development, Shelter, and Crisis Services",The Indiana Youth Institute,"Founded in 1988, the Indiana Youth Institute (IYI) promotes the healthy development of Indiana children and youth by serving the people, institutions and communities that impact their well-being. Their organizational vision is that all Indiana children and youth will attain five critical elements of healthy youth development: physical health and safety, emotional fulfillment, academic achievement, civic engagement and economic self-sufficiency. IYI provides capacity-building programs and resources for the state's youth workers and nonprofit youth-serving organizations, including schools. The IYI's programs are offered for free or very low cost, allowing youth organizations that are often on tight budgets to save money that can be used instead for their services to youth. "
org7054.htm,Community Development : Fundraising,Jewish Federation of Omaha,"The Jewish Federation of Omaha is the Jewish community's central fundraising and planning address. The Federation sponsors a wide variety of social, educational, and cultural programs throughout the year, in addition to mounting an annual community-wide fundraising campaign. Campaign proceeds meet the physical and spiritual needs of Jews here in Omaha and around the world. Locally, the Federation umbrella includes ADL/CRC, the Jewish Community Center, Jewish Educational and Library Services, Jewish Family Service and Jewish Senior Services as well as Federation programs such as Jewish experience scholarships, missions to Israel, birthright Israel, our Partnership with Israel, Children's Needs Scholarships and Bar/Bat Mitzvah Camp Grants. "
org7531.htm,Human Services : Multipurpose Human Service Organizations,YMCA of Central Massachusetts,"For 145 years the YMCA of Central Massachusetts, formerly the YMCA of Greater Worcester, has been building strong kids, strong families and strong communities. Originally chartered to improve the spiritual and mental condition of young men, the YMCA has evolved, but the basic mission, rooted in Judeo-Christian principles, has remained. From its first permanent home in downtown Worcester, constructed in 1886, the organization has grown and now serves more than 30,000 men, women, boys and girls annually throughout its 40 town service area. Committed to affecting positive change, the YMCA has been recognized for its efforts in the areas of character development, teen programs, homelessness, neighborhood revitalization, international partnerships and summer camps. "
org6302.htm,Community Development : Fundraising,United Way of Palm Beach County,"With roots dating back to 1929, the United Way of Palm Beach County was formed via a merger of four separate organizations in 1992. The mission of the United Way of Palm Beach County is to improve measurably the lives of individuals and families in Palm Beach County by uniting the resources of donors, volunteers, agencies and the community. Focusing on what matters most has helped United Way become the nation's leading community solutions partner. Through our local community impact agenda, we are producing measurable results through the following impact areas: providing food, shelter and emergency needs; improving futures for children and families; promoting independence for people with disabilities; and improving the lives of seniors. "
org13858.htm,Human Services : Children's and Family Services,Kentucky Youth Advocates,"Kentucky Youth Advocates (KYA) works to be an independent voice for Kentucky's children. We are a multi-issue, statewide child advocacy organization in Kentucky. KYA has worked for over 35 years to improve child well-being and public policies that influence the lives of children and families. With compelling, solid data in one hand and unrivaled expertise and advocacy skills in the other, we work hard to ensure that decision makers invest in and maintain programs that keep children and families healthy, safe and secure. "
org13316.htm,Community Development : Fundraising,"United Way of Lee, Hendry, Glades, and Okeechobee","The United Way of Lee, Hendry, Glades, and Okeechobee is a volunteer organization dedicated to improving the quality of life for all people in our community. This is accomplished through fundraising, fund distribution, community building, volunteer advancement, and information and referral. "
